,mean radius,mean texture,mean perimeter,mean area,mean smoothness,mean compactness,mean concavity,mean concave points,mean symmetry,mean fractal dimension,radius error,texture error,perimeter error,area error,smoothness error,compactness error,concavity error,concave points error,symmetry error,fractal dimension error,worst radius,worst texture,worst perimeter,worst area,worst smoothness,worst compactness,worst concavity,worst concave points,worst symmetry,worst fractal dimension
mean radius,1.0,0.32378189092773324,0.9978552814938106,0.9873571700566129,0.17058118749299458,0.506123577526363,0.6767635503908105,0.8225285223871784,0.14774124199260188,-0.31163082630928984,0.6790903880020744,-0.09731744314481315,0.6741716157641049,0.7358636632128176,-0.22260012458211142,0.2059999804076987,0.1942036227615088,0.3761689559399252,-0.10432088141786554,-0.04264126911445634,0.9695389726112049,0.2970076439863734,0.9651365139559871,0.9410824595860461,0.11961613992160791,0.4134628230608012,0.5269114618385446,0.7442141978674655,0.16395333493630693,0.007065885692182385
mean texture,0.32378189092773324,1.0,0.3295330586865707,0.3210856960802071,-0.023388515998423332,0.23670222207437197,0.30241782794389144,0.29346405131394276,0.07140098048331764,-0.0764371834481342,0.2758686761737625,0.38635762272449065,0.28167311478720264,0.2598449866100985,0.0066137773535855215,0.1919746113239669,0.14329307656049867,0.16385102528521822,0.009127167755035892,0.05445751956893386,0.35257294715029575,0.912044588840421,0.3580395750532242,0.3435459471864695,0.07750335882212907,0.2778295924789794,0.3010252238164912,0.2953158433377365,0.10500791031597186,0.11920535139708566
mean perimeter,0.9978552814938106,0.3295330586865707,1.0,0.9865068039913908,0.20727816369100724,0.5569362108795619,0.7161356501174047,0.8509770412528194,0.18302721211685316,-0.2614769080663325,0.6917650135334819,-0.08676107831179455,0.6931348895408653,0.7449826941190684,-0.20269402629832212,0.2507436807405881,0.22808234539365824,0.407216915998619,-0.08162932702839933,-0.005523391057003878,0.9694763634663146,0.3030383715571504,0.9703868870426395,0.9415498080023067,0.1505494043170373,0.4557742280383272,0.5638792634736619,0.7712407893605496,0.18911504046245772,0.051018529723407056
mean area,0.9873571700566129,0.3210856960802071,0.9865068039913908,1.0,0.1770283772540016,0.498501682152412,0.6859828285519112,0.8232688686524342,0.1512930790351123,-0.28310981169142607,0.7325622269972968,-0.06628021360457734,0.7266283277906844,0.8000859212343204,-0.16677666660111282,0.2125825507792327,0.20766006048256924,0.37232028233071046,-0.07249658821176244,-0.019886963235068052,0.9627460860470841,0.28748862712139706,0.9591195743552647,0.9592133256498999,0.12352293875557081,0.3904103092424987,0.512605920443324,0.722016626260358,0.14356991388907164,0.003737597351571732
mean smoothness,0.17058118749299458,-0.023388515998423332,0.20727816369100724,0.1770283772540016,1.0,0.6591232152159233,0.52198376771426,0.5536951727437609,0.5577747880728878,0.5847920019499776,0.30146709825316975,0.06840644817118247,0.29609193289351476,0.2465524316657356,0.3323754426475921,0.31894329670537874,0.24839567988255598,0.38067569098328613,0.20077437592048314,0.28360669854688514,0.21312014189594916,0.03607179878564651,0.23885262620915107,0.20671836342857694,0.805324195494363,0.4724684437304437,0.4349257147250876,0.503053353298951,0.39430948181175646,0.4993163685937669
mean compactness,0.506123577526363,0.23670222207437197,0.5569362108795619,0.498501682152412,0.6591232152159233,1.0,0.8831206701772507,0.831135043133698,0.6026410484055157,0.5653686634145217,0.49747344608506183,0.046204830716407,0.5489052645888236,0.45565285198788846,0.1352992677004714,0.7387217896603929,0.5705168714898889,0.642261850971647,0.22997659080143223,0.5073181269004213,0.5353153982176662,0.24813283327741725,0.5902104277312981,0.50960380555792,0.5655411663750887,0.8658090398022626,0.8162752498000282,0.8155732235690645,0.510223429921806,0.6873823227538975
mean concavity,0.6767635503908105,0.30241782794389144,0.7161356501174047,0.6859828285519112,0.52198376771426,0.8831206701772507,1.0,0.921391026378859,0.5006666171419607,0.336783359421185,0.6319248221414899,0.07621834813534022,0.6603907872419604,0.6174268058452413,0.09856374579911731,0.6702788246430194,0.6912702075448504,0.6832599165123261,0.1780092079208776,0.44930074905033784,0.6882364076436723,0.29987888870969076,0.7295649165132017,0.6759872313060873,0.44882203840476004,0.7549680159063961,0.8841026390943817,0.8613230336379513,0.4094641265399857,0.5149298906363857
mean concave points,0.8225285223871784,0.29346405131394276,0.8509770412528194,0.8232688686524342,0.5536951727437609,0.831135043133698,0.921391026378859,1.0,0.46249738836735826,0.16691738322699232,0.6980498335607401,0.021479581923401814,0.710649871613898,0.6902985397595536,0.02765330838713596,0.49042424959357145,0.43916706847426173,0.615634130896919,0.09535078688667677,0.25758374624303265,0.8303176311186159,0.2927517130015173,0.8559231281343123,0.8096296199096182,0.4527530541790489,0.6674536768257124,0.7523994975749643,0.910155314298592,0.3757441454236113,0.36866113371677106
mean symmetry,0.14774124199260188,0.07140098048331764,0.18302721211685316,0.1512930790351123,0.5577747880728878,0.6026410484055157,0.5006666171419607,0.46249738836735826,1.0,0.47992133005096904,0.3033792632072624,0.12805292634025606,0.31389276079651307,0.22397021941762962,0.18732116526139078,0.4216591470050107,0.3426270230777206,0.39329787208901684,0.4491365423934286,0.33178614627312375,0.18572775349568738,0.09065068811664319,0.21916855911105815,0.17719337737409682,0.4266750263849465,0.47320001324461847,0.433721007590172,0.4302966114579542,0.6998257976437307,0.4384134984446025
mean fractal dimension,-0.31163082630928984,-0.0764371834481342,-0.2614769080663325,-0.28310981169142607,0.5847920019499776,0.5653686634145217,0.336783359421185,0.16691738322699232,0.47992133005096904,1.0,0.00011099507262963461,0.1641739658717288,0.03982993157204734,-0.090170247520427,0.40196442544841254,0.5598366906211326,0.44663032169957156,0.3411980443971182,0.34500739714372797,0.6881315774585518,-0.2536914948766098,-0.051269202036765375,-0.2051512112627734,-0.23185445116756032,0.5049420753517612,0.45879815666785945,0.3462338763480677,0.17532544924324475,0.33401868385108374,0.7672967792384361
radius error,0.6790903880020744,0.2758686761737625,0.6917650135334819,0.7325622269972968,0.30146709825316975,0.49747344608506183,0.6319248221414899,0.6980498335607401,0.3033792632072624,0.00011099507262963461,1.0,0.213247337251158,0.9727936770160764,0.951830112110991,0.16451421981281159,0.3560645755322028,0.33235753760761044,0.5133464414367648,0.240567362450071,0.22775353267198015,0.715065195135185,0.19479855683425132,0.7196838036650045,0.7515484761266198,0.14191855291860658,0.2871031656007403,0.38058463462872183,0.5310623278216047,0.09454283035438192,0.04955943246457313
texture error,-0.09731744314481315,0.38635762272449065,-0.08676107831179455,-0.06628021360457734,0.06840644817118247,0.046204830716407,0.07621834813534022,0.021479581923401814,0.12805292634025606,0.1641739658717288,0.213247337251158,1.0,0.2231707286307139,0.11156724721803944,0.39724285264120995,0.2316996989762372,0.19499846445881905,0.23028339955703386,0.41162068019753933,0.2797227477191938,-0.11169031312493008,0.409002766315306,-0.10224192188743281,-0.0831949885850464,-0.07365765910118512,-0.09243935361819376,-0.06895622054645596,-0.11963752313984616,-0.12821475779252947,-0.04565456859320706
perimeter error,0.6741716157641049,0.28167311478720264,0.6931348895408653,0.7266283277906844,0.29609193289351476,0.5489052645888236,0.6603907872419604,0.710649871613898,0.31389276079651307,0.03982993157204734,0.9727936770160764,0.2231707286307139,1.0,0.9376554069544158,0.15107533120841293,0.41632236799246164,0.3624815822704489,0.5562640836543961,0.2664870918640224,0.24414277341628535,0.6972005927206456,0.20037085395945106,0.7210313099890177,0.7307129731302829,0.1300543919910096,0.34191944537120555,0.41889881573057136,0.5548972306282104,0.10993043423135032,0.08543257205665739
area error,0.7358636632128176,0.2598449866100985,0.7449826941190684,0.8000859212343204,0.2465524316657356,0.45565285198788846,0.6174268058452413,0.6902985397595536,0.22397021941762962,-0.090170247520427,0.951830112110991,0.11156724721803944,0.9376554069544158,1.0,0.07515033812199375,0.2848400565411611,0.270894726190632,0.4157295683714004,0.1341089796924749,0.12707090297801246,0.7573731889240164,0.19649664907281025,0.761212636068759,0.8114079609317274,0.12538943051609122,0.28325653753745555,0.38510013559852924,0.5381663138957359,0.07412629159952819,0.017539295132385495
smoothness error,-0.22260012458211142,0.0066137773535855215,-0.20269402629832212,-0.16677666660111282,0.3323754426475921,0.1352992677004714,0.09856374579911731,0.02765330838713596,0.18732116526139078,0.40196442544841254,0.16451421981281159,0.39724285264120995,0.15107533120841293,0.07515033812199375,1.0,0.3366960805054452,0.2686847598722627,0.32842949910967884,0.4135061252078973,0.42737420672315823,-0.23069070984514767,-0.07474296487675625,-0.21730375458186166,-0.18219547805909897,0.314457455980828,-0.0555581387150509,-0.058298386743445514,-0.10200679633746536,-0.10734209778914475,0.10148031504252507
compactness error,0.2059999804076987,0.1919746113239669,0.2507436807405881,0.2125825507792327,0.31894329670537874,0.7387217896603929,0.6702788246430194,0.49042424959357145,0.4216591470050107,0.5598366906211326,0.3560645755322028,0.2316996989762372,0.41632236799246164,0.2848400565411611,0.3366960805054452,1.0,0.8012683427383293,0.7440826676953254,0.39471283476203156,0.8032688176617678,0.20460716594748166,0.14300258329571658,0.26051583964720865,0.19937132909101388,0.22739423230542308,0.6787803543724954,0.6391466977559191,0.4832083268256133,0.277878430714635,0.5909727625047896
concavity error,0.1942036227615088,0.14329307656049867,0.22808234539365824,0.20766006048256924,0.24839567988255598,0.5705168714898889,0.6912702075448504,0.43916706847426173,0.3426270230777206,0.44663032169957156,0.33235753760761044,0.19499846445881905,0.3624815822704489,0.270894726190632,0.2686847598722627,0.8012683427383293,1.0,0.7718039949238469,0.30942857798445156,0.727372183881192,0.1869035156858978,0.1002409837483462,0.22668042559090154,0.1883526520895307,0.1684813207913676,0.48485780068646867,0.662564133742741,0.44047226304622306,0.19778782186141092,0.43932926857579074
concave points error,0.3761689559399252,0.16385102528521822,0.407216915998619,0.37232028233071046,0.38067569098328613,0.642261850971647,0.6832599165123261,0.615634130896919,0.39329787208901684,0.3411980443971182,0.5133464414367648,0.23028339955703386,0.5562640836543961,0.4157295683714004,0.32842949910967884,0.7440826676953254,0.7718039949238469,1.0,0.3127802232097334,0.6110441393807231,0.35812666924104264,0.08674120994286842,0.3949992517741846,0.34227116209268155,0.21535059681593355,0.45288837736988047,0.5495923752351922,0.6024496059209876,0.14311566863305006,0.31065455149383076
symmetry error,-0.10432088141786554,0.009127167755035892,-0.08162932702839933,-0.07249658821176244,0.20077437592048314,0.22997659080143223,0.1780092079208776,0.09535078688667677,0.4491365423934286,0.34500739714372797,0.240567362450071,0.41162068019753933,0.2664870918640224,0.1341089796924749,0.4135061252078973,0.39471283476203156,0.30942857798445156,0.3127802232097334,1.0,0.3690780833657291,-0.1281207690727424,-0.0774734201840788,-0.103753043843325,-0.11034274289549832,-0.01266179956590896,0.06025487946536685,0.03711904859992837,-0.03041339642360093,0.38940248488464635,0.07807947627266759
fractal dimension error,-0.04264126911445634,0.05445751956893386,-0.005523391057003878,-0.019886963235068052,0.28360669854688514,0.5073181269004213,0.44930074905033784,0.25758374624303265,0.33178614627312375,0.6881315774585518,0.22775353267198015,0.2797227477191938,0.24414277341628535,0.12707090297801246,0.42737420672315823,0.8032688176617678,0.727372183881192,0.6110441393807231,0.3690780833657291,1.0,-0.03748761786267358,-0.0031950288680895737,-0.0010003976259669305,-0.0227361473089006,0.1705683159531418,0.39015884208667484,0.3799746614570791,0.21520401331002892,0.11109395575572387,0.5913280656608751
worst radius,0.9695389726112049,0.35257294715029575,0.9694763634663146,0.9627460860470841,0.21312014189594916,0.5353153982176662,0.6882364076436723,0.8303176311186159,0.18572775349568738,-0.2536914948766098,0.715065195135185,-0.11169031312493008,0.6972005927206456,0.7573731889240164,-0.23069070984514767,0.20460716594748166,0.1869035156858978,0.35812666924104264,-0.1281207690727424,-0.03748761786267358,1.0,0.35992075422104813,0.993707916102949,0.9840145644590745,0.21657443125969564,0.4758200374601465,0.5739747080993032,0.7874238517122407,0.2435292042913139,0.0934919786793018
worst texture,0.2970076439863734,0.912044588840421,0.3030383715571504,0.28748862712139706,0.03607179878564651,0.24813283327741725,0.29987888870969076,0.2927517130015173,0.09065068811664319,-0.051269202036765375,0.19479855683425132,0.409002766315306,0.20037085395945106,0.19649664907281025,-0.07474296487675625,0.14300258329571658,0.1002409837483462,0.08674120994286842,-0.0774734201840788,-0.0031950288680895737,0.35992075422104813,1.0,0.3650982454086192,0.3458422825267967,0.2254294149094867,0.36083233859797315,0.3683656074599455,0.3597546095250359,0.23302746144531722,0.2191224254631588
worst perimeter,0.9651365139559871,0.3580395750532242,0.9703868870426395,0.9591195743552647,0.23885262620915107,0.5902104277312981,0.7295649165132017,0.8559231281343123,0.21916855911105815,-0.2051512112627734,0.7196838036650045,-0.10224192188743281,0.7210313099890177,0.761212636068759,-0.21730375458186166,0.26051583964720865,0.22668042559090154,0.3949992517741846,-0.103753043843325,-0.0010003976259669305,0.993707916102949,0.3650982454086192,1.0,0.9775780914063873,0.2367746038860697,0.5294076901641023,0.6183440795335158,0.8163221016875439,0.26949276908381725,0.13895686184575765
worst area,0.9410824595860461,0.3435459471864695,0.9415498080023067,0.9592133256498999,0.20671836342857694,0.50960380555792,0.6759872313060873,0.8096296199096182,0.17719337737409682,-0.23185445116756032,0.7515484761266198,-0.0831949885850464,0.7307129731302829,0.8114079609317274,-0.18219547805909897,0.19937132909101388,0.1883526520895307,0.34227116209268155,-0.11034274289549832,-0.0227361473089006,0.9840145644590745,0.3458422825267967,0.9775780914063873,1.0,0.20914533376028965,0.43829628377967406,0.5433305254110798,0.7474188023228168,0.20914550838707907,0.07964703402467606
worst smoothness,0.11961613992160791,0.07750335882212907,0.1505494043170373,0.12352293875557081,0.805324195494363,0.5655411663750887,0.44882203840476004,0.4527530541790489,0.4266750263849465,0.5049420753517612,0.14191855291860658,-0.07365765910118512,0.1300543919910096,0.12538943051609122,0.314457455980828,0.22739423230542308,0.1684813207913676,0.21535059681593355,-0.01266179956590896,0.1705683159531418,0.21657443125969564,0.2254294149094867,0.2367746038860697,0.20914533376028965,1.0,0.5681865166856064,0.5185232928640013,0.5476909029497875,0.4938383302357593,0.617624191655438
worst compactness,0.4134628230608012,0.2778295924789794,0.4557742280383272,0.3904103092424987,0.4724684437304437,0.8658090398022626,0.7549680159063961,0.6674536768257124,0.47320001324461847,0.45879815666785945,0.2871031656007403,-0.09243935361819376,0.34191944537120555,0.28325653753745555,-0.0555581387150509,0.6787803543724954,0.48485780068646867,0.45288837736988047,0.06025487946536685,0.39015884208667484,0.4758200374601465,0.36083233859797315,0.5294076901641023,0.43829628377967406,0.5681865166856064,1.0,0.8922608987764685,0.8010803646352529,0.614440501149307,0.8104548563116118
worst concavity,0.5269114618385446,0.3010252238164912,0.5638792634736619,0.512605920443324,0.4349257147250876,0.8162752498000282,0.8841026390943817,0.7523994975749643,0.433721007590172,0.3462338763480677,0.38058463462872183,-0.06895622054645596,0.41889881573057136,0.38510013559852924,-0.058298386743445514,0.6391466977559191,0.662564133742741,0.5495923752351922,0.03711904859992837,0.3799746614570791,0.5739747080993032,0.3683656074599455,0.6183440795335158,0.5433305254110798,0.5185232928640013,0.8922608987764685,1.0,0.8554338603439983,0.5325197291183625,0.6865109212448633
worst concave points,0.7442141978674655,0.2953158433377365,0.7712407893605496,0.722016626260358,0.503053353298951,0.8155732235690645,0.8613230336379513,0.910155314298592,0.4302966114579542,0.17532544924324475,0.5310623278216047,-0.11963752313984616,0.5548972306282104,0.5381663138957359,-0.10200679633746536,0.4832083268256133,0.44047226304622306,0.6024496059209876,-0.03041339642360093,0.21520401331002892,0.7874238517122407,0.3597546095250359,0.8163221016875439,0.7474188023228168,0.5476909029497875,0.8010803646352529,0.8554338603439983,1.0,0.5025284938306982,0.5111141458863395
worst symmetry,0.16395333493630693,0.10500791031597186,0.18911504046245772,0.14356991388907164,0.39430948181175646,0.510223429921806,0.4094641265399857,0.3757441454236113,0.6998257976437307,0.33401868385108374,0.09454283035438192,-0.12821475779252947,0.10993043423135032,0.07412629159952819,-0.10734209778914475,0.277878430714635,0.19778782186141092,0.14311566863305006,0.38940248488464635,0.11109395575572387,0.2435292042913139,0.23302746144531722,0.26949276908381725,0.20914550838707907,0.4938383302357593,0.614440501149307,0.5325197291183625,0.5025284938306982,1.0,0.5378482062536087
worst fractal dimension,0.007065885692182385,0.11920535139708566,0.051018529723407056,0.003737597351571732,0.4993163685937669,0.6873823227538975,0.5149298906363857,0.36866113371677106,0.4384134984446025,0.7672967792384361,0.04955943246457313,-0.04565456859320706,0.08543257205665739,0.017539295132385495,0.10148031504252507,0.5909727625047896,0.43932926857579074,0.31065455149383076,0.07807947627266759,0.5913280656608751,0.0934919786793018,0.2191224254631588,0.13895686184575765,0.07964703402467606,0.617624191655438,0.8104548563116118,0.6865109212448633,0.5111141458863395,0.5378482062536087,1.0
